#,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1,LAD,162,2403,6255,233,842,815,136,9.60%,21.40%,0.189,0.297,0.258,0.335,0.446,0.337,,118,10.6,147.9,-29.4,33.8
2,ARI,162,2436,6284,211,886,845,119,9.10%,20.10%,0.177,0.302,0.263,0.337,0.44,0.337,,115,12.5,121.5,-4.7,33.7
3,NYY,162,2304,6245,237,815,782,88,10.80%,21.20%,0.181,0.283,0.248,0.333,0.429,0.331,,117,-17,101.8,14.2,33.5
4,BAL,162,2412,6176,235,786,759,98,7.90%,22.00%,0.186,0.288,0.25,0.315,0.435,0.324,,115,-0.4,102.8,-30.5,28.8
5,MIL,162,2381,6170,177,777,742,217,9.70%,23.60%,0.155,0.305,0.248,0.326,0.403,0.319,,104,19.7,47.2,10.7,27.2
6,PHI,162,2317,6166,198,784,750,148,8.40%,22.20%,0.168,0.306,0.257,0.325,0.425,0.325,,108,10,69.5,-13.2,27
7,SDP,162,2429,6103,190,760,726,120,7.50%,17.60%,0.157,0.295,0.263,0.324,0.42,0.324,,111,4.7,85.4,-31.3,26.6
8,HOU,161,2336,6107,190,740,701,93,7.30%,19.30%,0.157,0.299,0.262,0.322,0.418,0.321,,111,-12.8,66.1,-17.2,26.1
9,NYM,162,2404,6166,207,768,735,106,8.30%,22.40%,0.169,0.291,0.246,0.319,0.415,0.32,,109,-7.9,55.3,-11.3,25.8
10,MIN,162,2451,6123,183,742,702,65,7.70%,21.30%,0.165,0.289,0.246,0.315,0.411,0.316,,107,-11.2,35.4,-16.8,23.1
11,CHC,162,2364,6116,170,736,696,143,8.90%,22.30%,0.151,0.291,0.242,0.317,0.393,0.311,,101,10.5,20,-5.2,22.6
12,TOR,162,2400,6060,156,671,640,72,8.40%,20.30%,0.148,0.283,0.241,0.313,0.389,0.307,,101,-12.9,-3.1,18.8,22.5
13,CLE,161,2455,5927,185,708,670,148,7.90%,20.20%,0.157,0.271,0.238,0.307,0.395,0.306,,100,-1.1,0.2,12.6,21.8
14,SEA,162,2383,6067,185,676,642,140,9.40%,26.80%,0.152,0.284,0.224,0.311,0.376,0.303,,104,1.5,26.3,-22.4,21.4
15,BOS,162,2416,6192,194,751,724,144,8.00%,25.40%,0.171,0.314,0.252,0.319,0.423,0.321,,104,4.6,30.5,-42.3,20.2
16,KCR,162,2409,5982,170,735,711,134,7.20%,19.40%,0.156,0.283,0.248,0.306,0.403,0.307,,96,8.8,-21.4,14.8,20
17,DET,162,2387,6021,162,682,656,76,7.90%,24.30%,0.151,0.288,0.234,0.3,0.385,0.299,,95,5.4,-27.2,12.4,19.3
18,ATL,162,2283,6075,213,704,674,69,8.00%,24.00%,0.172,0.291,0.243,0.309,0.415,0.315,,100,-10.3,-7.9,-16,18.4
19,SFG,162,2414,6062,177,693,661,68,8.10%,24.00%,0.157,0.29,0.239,0.305,0.396,0.305,,97,0.5,-20.9,-10.2,17.7
20,STL,162,2352,6114,165,672,639,91,7.80%,21.60%,0.144,0.294,0.248,0.312,0.392,0.307,,98,-3.2,-18.1,-21.4,17
21,TEX,162,2291,6053,176,683,652,97,8.10%,21.20%,0.142,0.279,0.238,0.305,0.38,0.3,,95,-3.2,-37.1,-1.2,16.9
22,TBR,162,2392,6006,147,604,564,178,8.20%,24.70%,0.136,0.289,0.23,0.302,0.366,0.294,,95,4.8,-30.7,-12.9,16.2
23,OAK,162,2384,6034,196,643,619,98,8.20%,24.90%,0.159,0.284,0.233,0.301,0.393,0.303,,101,-7.2,-1.2,-66.2,13.9
24,WSN,162,2353,5971,135,660,621,223,7.60%,20.40%,0.132,0.288,0.243,0.309,0.375,0.3,,92,6.4,-50.4,-52.9,9.9
25,CIN,162,2380,5970,174,699,663,207,8.30%,24.40%,0.157,0.283,0.231,0.305,0.388,0.303,,87,15.6,-74.2,-40,8.8
26,MIA,162,2451,6048,150,637,611,125,6.70%,23.30%,0.134,0.299,0.244,0.3,0.378,0.296,,86,-3.5,-104.6,-32.3,6.7
27,LAA,162,2308,5975,165,635,596,133,8.10%,23.70%,0.14,0.279,0.229,0.301,0.369,0.296,,90,-14.3,-82.4,-56.2,6.3
28,PIT,162,2342,6086,160,665,643,106,8.00%,24.70%,0.137,0.291,0.234,0.301,0.371,0.295,,86,3.3,-101.8,-40.1,6.3
29,COL,162,2277,6026,179,682,655,85,7.50%,26.80%,0.158,0.308,0.242,0.304,0.4,0.306,,82,-6.3,-134.2,-21.9,4.6
30,CHW,162,2360,5869,133,507,485,90,6.70%,23.90%,0.119,0.272,0.221,0.278,0.34,0.272,,75,-8.9,-178.4,-78.5,-6.3
